model_name,class_type,model_id,window_id,split,accuracy,n_obs,n_pred_0,n_true_0,n_pred_1,n_true_1
nn,binary,nn_binary,win_30,test,0.5079365079365079,63.0,46.0,35.0,17.0,28.0
nn,binary,nn_binary,win_31,train,0.6478537360890302,1258.0,635.0,628.0,623.0,630.0
nn,binary,nn_binary,win_31,val,0.7142857142857143,63.0,35.0,35.0,28.0,28.0
nn,binary,nn_binary,win_31,test,0.484375,64.0,18.0,33.0,46.0,31.0
nn,binary,nn_binary,win_32,train,0.7772474144789181,1257.0,664.0,630.0,593.0,627.0
nn,binary,nn_binary,win_32,val,0.796875,64.0,30.0,33.0,34.0,31.0
nn,binary,nn_binary,win_32,test,0.49206349206349204,63.0,61.0,31.0,2.0,32.0
nn,binary,nn_binary,win_33,train,0.594272076372315,1257.0,691.0,641.0,566.0,616.0
nn,binary,nn_binary,win_33,val,0.6190476190476191,63.0,41.0,31.0,22.0,32.0
nn,binary,nn_binary,win_33,test,0.3333333333333333,63.0,63.0,21.0,0.0,42.0
nn,binary,nn_binary,win_34,train,0.800476947535771,1258.0,663.0,640.0,595.0,618.0
nn,binary,nn_binary,win_34,val,0.8412698412698413,63.0,27.0,21.0,36.0,42.0
nn,binary,nn_binary,win_34,test,0.5238095238095238,63.0,43.0,29.0,20.0,34.0
nn,binary,nn_binary,win_35,train,0.8753968253968254,1260.0,654.0,633.0,606.0,627.0
nn,binary,nn_binary,win_35,val,0.9206349206349206,63.0,30.0,29.0,33.0,34.0
nn,binary,nn_binary,win_35,test,0.578125,64.0,36.0,35.0,28.0,29.0
nn,binary,nn_binary,win_36,train,0.704527402700556,1259.0,632.0,630.0,627.0,629.0
nn,binary,nn_binary,win_36,val,0.734375,64.0,30.0,35.0,34.0,29.0
nn,binary,nn_binary,win_36,test,0.4126984126984127,63.0,26.0,29.0,37.0,34.0
nn,binary,nn_binary,win_37,train,0.8554408260524226,1259.0,631.0,631.0,628.0,628.0
nn,binary,nn_binary,win_37,val,0.9206349206349206,63.0,28.0,29.0,35.0,34.0
nn,binary,nn_binary,win_37,test,0.55,60.0,39.0,28.0,21.0,32.0
nn,binary,nn_binary,win_38,train,0.7974583002382843,1259.0,628.0,625.0,631.0,634.0
nn,binary,nn_binary,win_38,val,0.8166666666666667,60.0,27.0,28.0,33.0,32.0
nn,binary,nn_binary,win_38,test,0.6349206349206349,63.0,11.0,28.0,52.0,35.0
nn,binary,nn_binary,win_39,train,0.6412092283214001,1257.0,586.0,623.0,671.0,634.0
nn,binary,nn_binary,win_39,val,0.6984126984126984,63.0,17.0,28.0,46.0,35.0
nn,binary,nn_binary,win_39,test,0.5396825396825397,63.0,8.0,35.0,55.0,28.0
nn,binary,nn_binary,win_40,train,0.6690533015115354,1257.0,632.0,618.0,625.0,639.0
nn,binary,nn_binary,win_40,val,0.7142857142857143,63.0,39.0,35.0,24.0,28.0
nn,binary,nn_binary,win_40,test,0.5238095238095238,63.0,50.0,32.0,13.0,31.0
