model_name,class_type,model_id,window_id,split,accuracy,n_obs,n_pred_0,n_true_0,n_pred_1,n_true_1,n_pred_minus_1,n_true_minus_1
nn,binary,nn_binary,win_35,train,0.8753968253968254,1260.0,654.0,633.0,606.0,627.0,,
nn,binary,nn_binary,win_35,val,0.9206349206349206,63.0,30.0,29.0,33.0,34.0,,
nn,binary,nn_binary,win_35,test,0.578125,64.0,36.0,35.0,28.0,29.0,,
nn,binary,nn_binary,win_36,train,0.704527402700556,1259.0,632.0,630.0,627.0,629.0,,
nn,binary,nn_binary,win_36,val,0.734375,64.0,30.0,35.0,34.0,29.0,,
nn,binary,nn_binary,win_36,test,0.4126984126984127,63.0,26.0,29.0,37.0,34.0,,
nn,binary,nn_binary,win_37,train,0.8554408260524226,1259.0,631.0,631.0,628.0,628.0,,
nn,binary,nn_binary,win_37,val,0.9206349206349206,63.0,28.0,29.0,35.0,34.0,,
nn,binary,nn_binary,win_37,test,0.55,60.0,39.0,28.0,21.0,32.0,,
nn,binary,nn_binary,win_38,train,0.7974583002382843,1259.0,628.0,625.0,631.0,634.0,,
nn,binary,nn_binary,win_38,val,0.8166666666666667,60.0,27.0,28.0,33.0,32.0,,
nn,binary,nn_binary,win_38,test,0.6349206349206349,63.0,11.0,28.0,52.0,35.0,,
nn,binary,nn_binary,win_39,train,0.6412092283214001,1257.0,586.0,623.0,671.0,634.0,,
nn,binary,nn_binary,win_39,val,0.6984126984126984,63.0,17.0,28.0,46.0,35.0,,
nn,binary,nn_binary,win_39,test,0.5396825396825397,63.0,8.0,35.0,55.0,28.0,,
nn,binary,nn_binary,win_40,train,0.6690533015115354,1257.0,632.0,618.0,625.0,639.0,,
nn,binary,nn_binary,win_40,val,0.7142857142857143,63.0,39.0,35.0,24.0,28.0,,
nn,binary,nn_binary,win_40,test,0.5238095238095238,63.0,50.0,32.0,13.0,31.0,,
logit,multiclass,logit_multiclass,win_01,train,0.7472178060413355,1258.0,1258.0,940.0,0.0,147.0,0.0,171.0
logit,multiclass,logit_multiclass,win_01,val,0.7936507936507936,63.0,63.0,50.0,0.0,9.0,0.0,4.0
logit,multiclass,logit_multiclass,win_01,test,0.7540983606557377,61.0,61.0,46.0,0.0,8.0,0.0,7.0
logit,multiclass,logit_multiclass,win_02,train,0.7503974562798092,1258.0,1258.0,944.0,0.0,149.0,0.0,165.0
logit,multiclass,logit_multiclass,win_02,val,0.7377049180327869,61.0,61.0,45.0,0.0,8.0,0.0,8.0
logit,multiclass,logit_multiclass,win_02,test,0.8153846153846154,65.0,65.0,53.0,0.0,6.0,0.0,6.0
logit,multiclass,logit_multiclass,win_03,train,0.7462211614956245,1257.0,1257.0,938.0,0.0,152.0,0.0,167.0
logit,multiclass,logit_multiclass,win_03,val,0.8153846153846154,65.0,65.0,53.0,0.0,6.0,0.0,6.0
logit,multiclass,logit_multiclass,win_03,test,0.921875,64.0,64.0,59.0,0.0,4.0,0.0,1.0
logit,multiclass,logit_multiclass,win_04,train,0.7408585055643879,1258.0,1258.0,932.0,0.0,157.0,0.0,169.0
logit,multiclass,logit_multiclass,win_04,val,0.921875,64.0,64.0,59.0,0.0,4.0,0.0,1.0
logit,multiclass,logit_multiclass,win_04,test,0.8412698412698413,63.0,63.0,53.0,0.0,8.0,0.0,2.0
logit,multiclass,logit_multiclass,win_05,train,0.7448330683624801,1258.0,1258.0,937.0,0.0,154.0,0.0,167.0
logit,multiclass,logit_multiclass,win_05,val,0.8412698412698413,63.0,63.0,53.0,0.0,8.0,0.0,2.0
logit,multiclass,logit_multiclass,win_05,test,0.7704918032786885,61.0,61.0,47.0,0.0,5.0,0.0,9.0
logit,multiclass,logit_multiclass,win_06,train,0.7488076311605724,1258.0,1258.0,942.0,0.0,157.0,0.0,159.0
logit,multiclass,logit_multiclass,win_06,val,0.7704918032786885,61.0,61.0,47.0,0.0,5.0,0.0,9.0
logit,multiclass,logit_multiclass,win_06,test,0.671875,64.0,64.0,43.0,0.0,10.0,0.0,11.0
logit,multiclass,logit_multiclass,win_07,train,0.7533810660302307,1257.0,1257.0,947.0,0.0,155.0,0.0,155.0
logit,multiclass,logit_multiclass,win_07,val,0.671875,64.0,64.0,43.0,0.0,10.0,0.0,11.0
logit,multiclass,logit_multiclass,win_07,test,0.78125,64.0,64.0,50.0,0.0,9.0,0.0,5.0
logit,multiclass,logit_multiclass,win_08,train,0.7478122513922036,1257.0,1257.0,940.0,0.0,159.0,0.0,158.0
logit,multiclass,logit_multiclass,win_08,val,0.78125,64.0,64.0,50.0,0.0,9.0,0.0,5.0
logit,multiclass,logit_multiclass,win_08,test,0.7936507936507936,63.0,63.0,50.0,0.0,9.0,0.0,4.0
logit,multiclass,logit_multiclass,win_09,train,0.7478122513922036,1257.0,1257.0,940.0,0.0,158.0,0.0,159.0
logit,multiclass,logit_multiclass,win_09,val,0.7936507936507936,63.0,63.0,50.0,0.0,9.0,0.0,4.0
logit,multiclass,logit_multiclass,win_09,test,0.7540983606557377,61.0,61.0,46.0,0.0,10.0,0.0,5.0
logit,multiclass,logit_multiclass,win_10,train,0.7490071485305798,1259.0,1258.0,944.0,0.0,161.0,1.0,154.0
logit,multiclass,logit_multiclass,win_10,val,0.7540983606557377,61.0,61.0,46.0,0.0,10.0,0.0,5.0
logit,multiclass,logit_multiclass,win_10,test,0.703125,64.0,64.0,45.0,0.0,8.0,0.0,11.0
logit,multiclass,logit_multiclass,win_11,train,0.7513899920571883,1259.0,1258.0,947.0,0.0,162.0,1.0,150.0
logit,multiclass,logit_multiclass,win_11,val,0.703125,64.0,64.0,45.0,0.0,8.0,0.0,11.0
logit,multiclass,logit_multiclass,win_11,test,0.71875,64.0,64.0,46.0,0.0,12.0,0.0,6.0
logit,multiclass,logit_multiclass,win_12,train,0.7513899920571883,1259.0,1259.0,946.0,0.0,165.0,0.0,148.0
logit,multiclass,logit_multiclass,win_12,val,0.71875,64.0,64.0,46.0,0.0,12.0,0.0,6.0
