model_name,class_type,model_id,window_id,split,actual_label,pred_-1,pred_0,pred_1
nn,multiclass,nn_multiclass,win_39,val,actual_0,0,37,0
nn,multiclass,nn_multiclass,win_39,val,actual_1,0,0,15
nn,multiclass,nn_multiclass,win_39,test,actual_-1,3,5,8
nn,multiclass,nn_multiclass,win_39,test,actual_0,13,12,15
nn,multiclass,nn_multiclass,win_39,test,actual_1,0,2,5
nn,multiclass,nn_multiclass,win_40,train,actual_-1,85,69,1
nn,multiclass,nn_multiclass,win_40,train,actual_0,12,913,14
nn,multiclass,nn_multiclass,win_40,train,actual_1,9,61,93
nn,multiclass,nn_multiclass,win_40,val,actual_-1,3,4,0
nn,multiclass,nn_multiclass,win_40,val,actual_0,0,51,0
nn,multiclass,nn_multiclass,win_40,val,actual_1,0,2,3
nn,multiclass,nn_multiclass,win_40,test,actual_-1,1,4,1
nn,multiclass,nn_multiclass,win_40,test,actual_0,11,40,1
nn,multiclass,nn_multiclass,win_40,test,actual_1,2,3,0
