model_name,class_type,model_id,window_id,split,accuracy,n_obs,n_pred_minus_1,n_true_minus_1,n_pred_0,n_true_0,n_pred_1,n_true_1
logit,multiclass,logit_multiclass,win_37,test,0.38333333333333336,60.0,17.0,18.0,43.0,22.0,0.0,20.0
logit,multiclass,logit_multiclass,win_38,train,0.6735504368546466,1259.0,0.0,211.0,1259.0,848.0,0.0,200.0
logit,multiclass,logit_multiclass,win_38,val,0.6,60.0,0.0,11.0,60.0,36.0,0.0,13.0
logit,multiclass,logit_multiclass,win_38,test,0.7142857142857143,63.0,0.0,9.0,63.0,45.0,0.0,9.0
logit,multiclass,logit_multiclass,win_39,train,0.5019888623707239,1257.0,35.0,312.0,1185.0,630.0,37.0,315.0
logit,multiclass,logit_multiclass,win_39,val,0.42857142857142855,63.0,10.0,15.0,53.0,30.0,0.0,18.0
logit,multiclass,logit_multiclass,win_39,test,0.5714285714285714,63.0,0.0,17.0,63.0,36.0,0.0,10.0
logit,multiclass,logit_multiclass,win_40,train,0.747016706443914,1257.0,0.0,155.0,1257.0,939.0,0.0,163.0
logit,multiclass,logit_multiclass,win_40,val,0.8095238095238095,63.0,0.0,7.0,63.0,51.0,0.0,5.0
logit,multiclass,logit_multiclass,win_40,test,0.8253968253968254,63.0,0.0,6.0,63.0,52.0,0.0,5.0
