date,cumulative_return
2021-09-22,0.8310547417802276
2021-09-23,0.8105433738296683
2021-09-24,0.8516091165019917
2021-09-27,0.889543990167061
2021-09-28,0.8631593681666636
2021-09-29,0.874928336115278
2021-09-30,0.8588193766158281
2021-10-01,0.8593680218968669
2021-10-04,0.8065303825731283
2021-10-05,0.840504186746764
2021-10-06,0.8491852612305353
2021-10-07,0.8530964937450787
2021-10-08,0.8518726628035713
2021-10-11,0.8382119943722883
2021-10-12,0.8211523722216487
2021-10-13,0.8268792225381056
2021-10-14,0.8539598193036504
2021-10-15,0.8309223840919655
2021-10-18,0.8165779236278934
2021-10-19,0.8254602416288224
2021-10-20,0.816171694252013
2021-10-21,0.8108012406109981
2021-10-22,0.796279610999264
2021-10-25,0.699946524554967
2021-10-26,0.7621908870592988
2021-10-27,0.735881341097576
2021-10-28,0.7205095646295592
2021-10-29,0.7125902139874931
2021-11-01,0.6486076506267127
2021-11-02,0.6918550519218256
2021-11-03,0.6679671517710208
2021-11-04,0.7573548250503588
2021-11-05,0.7615241616594208
2021-11-08,0.8352690278198691
2021-11-09,0.9409378940239499
2021-11-10,0.8608559929318393
2021-11-11,0.8941255079406294
2021-11-12,0.9209208789877636
2021-11-15,0.9280073660006838
2021-11-16,0.8944086860707692
2021-11-17,0.8340859749002338
2021-11-18,0.9035297984791073
2021-11-19,0.9075676067650187
2021-11-22,0.8611946568288116
2021-11-23,0.8935772986817359
2021-11-24,0.9153005014881541
2021-11-26,0.9102130192680917
2021-11-29,0.918376582085441
2021-11-30,0.891720975739988
2021-12-01,0.8970146197058144
2021-12-02,0.9268837428139289
2021-12-03,0.945769062581078
2021-12-06,0.9306789973510483
2021-12-07,0.9665864490172265
2021-12-08,0.9322668455821381
2021-12-09,0.9506156683496658
2021-12-10,0.928402955080208
2021-12-13,0.9113553927846965
2021-12-14,0.9251538789380533
2021-12-15,0.979682200648816
2021-12-16,0.9621165803815581
2021-12-17,0.9358782530179459
2021-12-20,0.9668863740114959
2021-12-21,0.9728474293635847
2021-12-22,0.9099299483773564
2021-12-23,0.8627154607913712
2021-12-27,0.880189538275193
2021-12-28,0.8659598161840212
2021-12-29,0.858049141555008
2021-12-30,0.8587603796265229
2021-12-31,0.8650269066034395
2022-01-03,0.9677572964540668
2022-01-04,0.953761756131108
2022-01-05,0.957765758095052
2022-01-06,0.9163374242117175
2022-01-07,0.9140240992034332
2022-01-10,0.9376784892463741
2022-01-11,0.9286903291788244
2022-01-12,0.9602576756450756
2022-01-13,0.9439795465711285
2022-01-14,0.9475391979666432
2022-01-18,0.967369918593388
2022-01-19,0.9658637001562138
2022-01-20,1.0024247535386555
2022-01-21,0.981985267857933
2022-01-24,0.9674777677501218
2022-01-25,0.9993180004781228
2022-01-26,0.9999111338843683
2022-01-27,0.9207591938191118
2022-01-28,0.901539575725381
2022-01-31,0.9345320486021946
2022-02-01,0.922868731006999
2022-02-02,0.8728738253782085
2022-02-03,0.9058828166761712
2022-02-04,0.9255010693528978
2022-02-07,0.8926580270605631
2022-02-08,0.8934141011141694
2022-02-09,0.8434666186995554
2022-02-10,0.8467161033275317
2022-02-11,0.8683019631173261
2022-02-14,0.8729919875943051
2022-02-15,0.9081378854060917
2022-02-16,0.9077221985757433
2022-02-17,0.8841827589646936
2022-02-18,0.8717679387607307
2022-02-22,0.9004883798504522
2022-02-23,0.9262395150519429
2022-02-24,0.9385189131012786
2022-02-25,0.9441856275770548
2022-02-28,0.8806898793212843
2022-03-01,0.8521944089825897
2022-03-02,0.8650478935872568
2022-03-03,0.8886012061504702
2022-03-04,0.8587311751251578
2022-03-07,0.8319307291964575
2022-03-08,0.8163272935316372
2022-03-09,0.8415471414938767
2022-03-10,0.8494763663849654
2022-03-11,0.8740808769540311
2022-03-14,0.8755618028360279
2022-03-15,0.9043257074765616
2022-03-16,0.9219102974470545
2022-03-17,0.8966458249675007
2022-03-18,0.9244739705983795
2022-03-21,0.9179187975901775
2022-03-22,0.8345983784627824
2022-03-23,0.7990657781112225
2022-03-24,0.8740382509467002
2022-03-25,0.861830034621414
2022-03-28,0.8047477405538337
2022-03-29,0.8123272340560026
2022-03-30,0.7863887460788173
2022-03-31,0.7867475347369222
2022-04-01,0.7621595198703348
2022-04-04,0.7340630437154754
2022-04-05,0.7298138440410697
