model_name,class_type,model_id,window_id,split,actual_label,pred_0,pred_1
logit,binary,logit_binary,win_32,test,actual_0,31,0
logit,binary,logit_binary,win_32,test,actual_1,31,1
logit,binary,logit_binary,win_33,train,actual_0,439,202
logit,binary,logit_binary,win_33,train,actual_1,373,243
logit,binary,logit_binary,win_33,val,actual_0,30,1
logit,binary,logit_binary,win_33,val,actual_1,31,1
logit,binary,logit_binary,win_33,test,actual_0,21,0
logit,binary,logit_binary,win_33,test,actual_1,42,0
logit,binary,logit_binary,win_34,train,actual_0,379,261
logit,binary,logit_binary,win_34,train,actual_1,320,298
logit,binary,logit_binary,win_34,val,actual_0,0,21
logit,binary,logit_binary,win_34,val,actual_1,0,42
logit,binary,logit_binary,win_34,test,actual_0,0,29
logit,binary,logit_binary,win_34,test,actual_1,2,32
logit,binary,logit_binary,win_35,train,actual_0,376,257
logit,binary,logit_binary,win_35,train,actual_1,316,311
logit,binary,logit_binary,win_35,val,actual_0,7,22
logit,binary,logit_binary,win_35,val,actual_1,7,27
logit,binary,logit_binary,win_35,test,actual_0,33,2
logit,binary,logit_binary,win_35,test,actual_1,28,1
logit,binary,logit_binary,win_36,train,actual_0,354,276
logit,binary,logit_binary,win_36,train,actual_1,299,330
logit,binary,logit_binary,win_36,val,actual_0,26,9
logit,binary,logit_binary,win_36,val,actual_1,19,10
logit,binary,logit_binary,win_36,test,actual_0,25,4
logit,binary,logit_binary,win_36,test,actual_1,30,4
logit,binary,logit_binary,win_37,train,actual_0,363,268
logit,binary,logit_binary,win_37,train,actual_1,290,338
logit,binary,logit_binary,win_37,val,actual_0,20,9
logit,binary,logit_binary,win_37,val,actual_1,25,9
logit,binary,logit_binary,win_37,test,actual_0,17,11
logit,binary,logit_binary,win_37,test,actual_1,21,11
logit,binary,logit_binary,win_38,train,actual_0,334,291
logit,binary,logit_binary,win_38,train,actual_1,269,365
logit,binary,logit_binary,win_38,val,actual_0,3,25
logit,binary,logit_binary,win_38,val,actual_1,4,28
logit,binary,logit_binary,win_38,test,actual_0,5,23
logit,binary,logit_binary,win_38,test,actual_1,12,23
logit,binary,logit_binary,win_39,train,actual_0,348,275
logit,binary,logit_binary,win_39,train,actual_1,278,356
logit,binary,logit_binary,win_39,val,actual_0,8,20
logit,binary,logit_binary,win_39,val,actual_1,7,28
logit,binary,logit_binary,win_39,test,actual_0,16,19
logit,binary,logit_binary,win_39,test,actual_1,9,19
logit,binary,logit_binary,win_40,train,actual_0,329,289
logit,binary,logit_binary,win_40,train,actual_1,290,349
logit,binary,logit_binary,win_40,val,actual_0,22,13
logit,binary,logit_binary,win_40,val,actual_1,16,12
logit,binary,logit_binary,win_40,test,actual_0,28,4
logit,binary,logit_binary,win_40,test,actual_1,26,5
